"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","140",2022-06-30,181,2022-06-29 16:00:00,2022-06-30 02:00:00,600,-12,-0.000349747474749632,2022-06-30 02:00:00,2022-06-30 16:00:00,840,90,0.00200198412697817,NA
"2","140",2022-07-01,182,2022-06-30 16:00:00,2022-07-01 02:00:00,600,-16,-0.000472222222218438,2022-07-01 02:00:00,2022-07-01 16:00:00,840,119,0.00263293650792896,NA
"3","140",2022-07-02,183,2022-07-01 16:00:00,2022-07-02 05:00:00,780,-11,-0.000287240537238373,2022-07-02 05:00:00,2022-07-02 16:00:00,660,90,0.00243104118110684,-1
"4","140",2022-07-03,184,2022-07-02 16:00:00,2022-07-03 05:00:00,780,-2,-3.72405372405926e-05,2022-07-03 05:00:00,2022-07-03 15:00:00,600,81,0.00234848484847084,-1
"5","140",2022-07-04,185,2022-07-03 15:00:00,2022-07-04 01:00:00,600,-2,-5.30303030298578e-05,2022-07-04 01:00:00,2022-07-04 16:00:00,900,89,0.00194934640522876,NA
"6","140",2022-07-05,186,2022-07-04 16:00:00,2022-07-05 02:00:00,600,-25,-0.000805555555549479,NA,NA,NA,NA,NA,NA
"7","140",2022-07-06,187,NA,NA,NA,NA,NA,2022-07-05 02:00:00,2022-07-06 17:00:00,2340,247,0.0018357567229517,NA
"8","140",2022-07-07,188,2022-07-06 17:00:00,2022-07-07 01:00:00,480,-7,-0.000203703703703695,2022-07-07 01:00:00,2022-07-07 15:00:00,840,48,0.000947420634917684,NA
"9","140",2022-07-08,189,2022-07-07 15:00:00,2022-07-08 01:00:00,600,-10,-0.000249999999997903,2022-07-08 01:00:00,2022-07-08 17:00:00,960,90,0.00196078431367155,NA
"10","140",2022-07-09,190,2022-07-08 17:00:00,2022-07-09 02:00:00,540,-24,-0.000851851851858135,2022-07-09 02:00:00,2022-07-09 16:00:00,840,60,0.00141468253967843,NA
"11","140",2022-07-10,191,2022-07-09 16:00:00,2022-07-10 01:00:00,540,-17,-0.000609427609431763,2022-07-10 01:00:00,2022-07-10 15:00:00,840,65,0.00151388888887091,NA
"12","140",2022-07-11,192,2022-07-10 15:00:00,2022-07-11 02:00:00,660,-31,-0.000914918414933977,2022-07-11 02:00:00,2022-07-11 14:00:00,720,71,0.00171703296704036,-1
"13","140",2022-07-12,193,2022-07-11 14:00:00,2022-07-12 03:00:00,780,-72,-0.00181929181929469,2022-07-12 03:00:00,2022-07-12 16:00:00,780,108,0.00268681318679196,NA
